path,spoken_language,signed_language,start,end,words,glosses,priority
Videos/output/Jacket.mp4,en,ins,0,0,jacket,JACKET,0
Videos/output/Jackpot.mp4,en,ins,0,0,jackpot,JACKPOT,0
Videos/output/January.mp4,en,ins,0,0,january,JANUARY,0
Videos/output/Jesus_Christ.mp4,en,ins,0,0,jesus christ,JESUS CHRIST,0
Videos/output/Jewelery.mp4,en,ins,0,0,jewelery,JEWELERY,0
Videos/output/Job.mp4,en,ins,0,0,job,JOB,0
Videos/output/Jobless_Unemployed.mp4,en,ins,0,0,jobless unemployed,JOBLESS UNEMPLOYED,0
Videos/output/Join.mp4,en,ins,0,0,join,JOIN,0
Videos/output/Joint_Family_Sign.mp4,en,ins,0,0,joint family sign,JOINT FAMILY SIGN,0
Videos/output/Joints.mp4,en,ins,0,0,joints,JOINTS,0
Videos/output/Journey.mp4,en,ins,0,0,journey,JOURNEY,0
Videos/output/JPEG.mp4,en,ins,0,0,jpeg,JPEG,0
Videos/output/Judge.mp4,en,ins,0,0,judge,JUDGE,0
Videos/output/Juice.mp4,en,ins,0,0,juice,JUICE,0
Videos/output/July.mp4,en,ins,0,0,july,JULY,0
Videos/output/Jump.mp4,en,ins,0,0,jump,JUMP,0
Videos/output/June.mp4,en,ins,0,0,june,JUNE,0
Videos/output/Kajal.mp4,en,ins,0,0,kajal,KAJAL,0
Videos/output/Kid.mp4,en,ins,0,0,kid,KID,0
Videos/output/Kid.mp4,en,ins,0,0,kid's,KID,0
Videos/output/Kid.mp4,en,ins,0,0,kids,KID,0
